,name,value_dest
136,btnGotIt,Got It
137,btnHintAddingChargers,Adding EV Chargers…
138,btnHintCalculating,Calculating Route…
139,btnHintCanceling,Canceling…
140,btnHintOutofRange,Out of Range…
141,btnHintUpdatingChargers,Updating EV Chargers…
142,btnKeepCharging,Keep Charging
143,btnLabelRestart,Restart
144,btnNotThisTime,Not This Time
145,btnUpdate,Update
146,btn_delete,Delete
147,btn_removeFromFavorite,Remove from Favorite
148,btn_saveToFavorite,Save to Favorite
149,bubbleChange,Change
150,bubbleEndPoint,End Point
151,bubbleNear,Near
152,bubbleNoChargingNearDest,No Chargers in Range
153,bubbleOutOfRange,Out of Range
154,bubbleStartPoint,Starting Point
155,busStationItemLabel,Bus Stations
156,buttonDoNotSaveRecordedRoute,Don\'t Save
157,buttonExitNav,Exit Nav
158,buttonLearnMore,Learn More
159,buttonNextSDcard,Next
160,buttonRecordNewRoute,Record New Route
161,buttonSaveRecordedRoute,Save
162,buttonStartTraceRoute,Trace Route
163,campingItemLabel,Campgrounds
164,candidateOthers,Other Road:
165,candidateRamp,Ramp:
166,candidateSurficialFrontageRoad,Ground Side Road:
167,candidateTunnel,Tunnel:
168,cannotAvoidPreferenceVar,Cannot Avoid %1$s
169,carColor,Color
170,carModel,Model
171,carRentalItemLabel,Car Rental
172,carWashItemLabel,Car Wash
173,casinoItemLabel,Casinos
174,categoryBiodieselStation,Biodiesel Stations
175,categoryBowling,Bowling
176,categoryChicken,Chicken
177,categoryDeli,Deli
178,categoryDeliSandwiches,Deli/Sandwiches
179,categoryDieselStation,Diesel Stations
180,categoryE10Station,E10 Stations
181,categoryE85Station,E85 Stations
182,categoryFurniture,Furniture
183,categoryGamingArcade,Gaming Arcades
184,categoryHostel,Hostels
185,categoryHydrogenStation,Hydrogen Stations
186,categoryKaraoke,Karaoke
187,categoryShoes,Shoes
188,categorySnackBeverages,Snack and Beverages
189,categorySnackJuice,Snack and Juice Bars
190,categorySoccerClub,Soccer Clubs
191,categorySoccerField,Soccer Fields
192,categorySpecialtyFood,Specialty Food
193,categoryWholesaleClub,Wholesale Club Stores
194,categoryWinery,Wineries
195,censorshipIdLabel,Censorship ID:
196,chargingStationTabLabel,Charging
197,chargingStationTitle,Charging Stations
198,chargingSuggestion,Charge to %1$s
199,checkingMapVersionOnSplash,Checking Map Version
200,chickenItemLabel,Chicken
201,chineseRestaurantItemLabel,Chinese Restaurants
202,coachDismissHelp,Touch screen to dismiss help
203,coachRouteOverview,Toggle to see route overview
204,coachTimeEnroute,Toggle to see time to enroute
205,coachTripAssist,Smart Destination shows important drive information for your usual trips
206,coachmarkMFCMapMode,Push knob to enter map mode
207,coffeeItemLabel,Coffee
208,coffeeRootItemLabel,Coffee
209,commercialStreetItemLabel,Shopping Districts
210,commonAccept,Confirm
211,commonCancel,Cancel
212,commonClose,Close
213,commonDecline,Decline
214,commonDirectionE,E
215,commonDirectionN,N
216,commonDirectionNE,NE
217,commonDirectionNW,NW
218,commonDirectionS,S
219,commonDirectionSE,SE
220,commonDirectionSW,SW
221,commonDirectionW,W
222,commonDisable,Disable
223,commonDone,Done
224,commonEnable,Enable
225,commonFeet,ft
226,commonFriday,Fri
227,commonGpsUnavailable,GPS Unavailable
228,commonHistoryClearedMessage,%1$s cleared.
229,commonHistoryRestoredMessage,%1$s restored.
230,commonKilometer,km
231,commonLoading,Loading…
232,commonMapServiceServiceRouteNotFound,Route not found.
233,commonMapServiceServiceWayPointFail,Failed to add Destination to route.
234,commonMeter,m
235,commonMile,mi
236,commonMonday,Mon
237,commonNetworkError,Unable to retrieve data.
238,commonNo,No
239,commonOff,Off
240,commonOk,OK
241,commonOn,On
242,commonOthers,Others
243,commonParkingPriceArriveDepartFormat,from %1$s to %2$s
244,commonParkingPriceArriveFormat,arrive %1$s
245,commonParkingPriceDepartFormat,depart %1$s
246,commonParkingPriceMaxMinutes,max %1$s
247,commonParkingPriceMinMinutes,min %1$s
248,commonRemove,Remove
249,commonRenew,Renew
250,commonRestart,Restart
251,commonSaturday,Sat
252,commonSunday,Sun
253,commonThursday,Thu
254,commonTimeUnitHour,hr
255,commonTimeUnitHourAbbreviation,h
256,commonTimeUnitMinute,min
257,commonTimeUnitMinuteAbbreviation,m
258,commonTuesday,Tue
259,commonUnitDay,day
260,commonUnitDays,%1$d days
261,commonUnitFlatRate,Flat Rate
262,commonUnitHour,hr
263,commonUnitHours,%1$d hr
264,commonUnitMinute,min
265,commonUnitMinutes,%1$d min
266,commonUnitMonth,month
267,commonUnitMonths,%1$d months
268,commonUnitQuarter,quarter
269,commonUnitYear,year
270,commonUnnamedRoad,Unnamed Road
271,commonWednesday,Wed
272,commonYard,yd
273,commonYes,Yes
274,commuteDueToTrafficVars,Commute from %1$s to %2$s takes %3$s due to Traffic.
275,concertHallItemLabel,Concert Halls
276,consumerElectronicsItemLabel,Consumer Electronics
277,contactChooseNumber,Choose a Number
278,contactSearchHint,Contact Name
279,contactsItemLabel,Contacts
280,contentPorchViewPermission,Tap to launch Nav
281,convenienceStoreItemLabel,Convenience Stores
282,couldNotFindChargingStation,Could Not Find Charging Station
283,currentLocationSuggestionText,Current Location
284,dayCostVar,Day Cost:
285,daytimePrice,Daytime Price
287,dealershipScreenTitle,Dealerships
288,defaultIncidentInfo,Information Unavailable
289,deleteAddress,Delete
290,deleteRecordedRoute,Delete Recorded Route?
291,deliItemLabel,Delis/Sandwiches
292,departmentStoreItemLabel,Department Stores
293,desCardBasedOn,Show Destination Card Based on:
294,desChargingBuffer,Adjusting the reserve level will affect Charging Station Advisor recommendations. Low reserve levels may increase risks of being out of range.
295,desFuelPreferences,Choose your preferred fuel grade. System will show prices based on your preference.
296,desIncludeEV,Enable this toggle to automatically add EV chargers when destination is out of range.
297,desNavigationPrivacy,All data collected by Navigation will be stored and used as described in our %1$s.
298,desNavigationPrivacyOffline,"To switch to complete offline mode, please go to System Settings > Privacy, and set “Location Services” to OFF."
299,desPreferredNetworks,Select your preferred charging network.
300,desReserveLevel,Optimal EV chargers will be included in a trip if your vehicle charge is below this level. Low reserve levels may increase risks of being out of range.
301,descriptionForAutoLearning,Enable Predictive Navigation below for smart search and routing.
302,dessertsBeverages,Desserts/Beverages
303,destinationFarFromRoad,Destination Far Away from Road
304,destinationRemoved,Destination Removed
305,detailsIncludeEV,Include EV Chargers
